ID,name,description,price,discount,rating
1,Apple iPhone 16 Plus (128 GB) - Ultramarine,"Advanced dual-camera system 48MP Fusion: 26 mm, ƒ/1.6 aperture, sensor‑shift optical image stabilisation, 100% Focus Pixels, support for super-high-resolution photos (24MP and 48MP)",89000,3,4
2,Zebronics Transformer Gaming Keyboard and Mouse Combo,"Braided Cable,Durable Al body,Multimedia keys and Gaming Mouse with 6 Buttons, Multi-Color LED Lights, High-Resolution Sensor with 3200 DPI(Black)",2399,46,4
3,Zebronics Jet PRO,"Premium Wired Gaming On Ear Headphone with LED for Headband + earcups, 40mm Neodymium Drivers, 2 Meter Braided Cable, with mic, Suspension Design, 3.5mm + USB Connector (Black, Blue)",1099,47,4
4,Mattel Uno Playing Card,"Uno Playing Card Game For 7 Yrs And Above For Adult,Set Of 112 Cards, Multicolor",149,9,4
5,Casual Slim Fit Shirt,Men's Cotton Solid Casual Slim Fit Shirt Collor Short Kurta for Men,1999,76,3
6,Fastrack Dezire FX1 PRO,"Fashion Smartwatch with 1.43"" AMOLED Display with 466 * 466 Pixel Resolution|SingleSync BT Calling|AI Voice Assistant|100+ Sports Modes and Watchfaces|Upto 5 Day Battery|IP68",5999,42,4
7,TIMEX Analog,TIMEX Analog Men's Watch (Dial Colored Strap),1595,21,4
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,,,,,
28,,,,,
29,,,,,
30,,,,,
31,,,,,
32,,,,,
33,,,,,
34,,,,,
35,,,,,
36,,,,,
37,,,,,
38,,,,,
39,,,,,
40,,,,,
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
